record_num,pmid,title,year,include?,notes
93,CN-02838583,The Impact of Nicotinamide Mononucleotide Sustained-release Tablets on Immunosenescence and Metablism in Middle-aged and Elderly Individuals with Metabolic Disorders,2025,Y,parallel RCT
102,CN-02230105,Baseline characteristics of a clinical trial of nicotinamide riboside supplementation on brain function in older adults with mild cognitive impairment,2020,Y,
110,CN-02214962,"Nicotinamide riboside with pterostilbene increases NAD+ in patients with AKI: a randomized, double-blind, placebo-controlled, stepwise safety study of NRPT in patients with AKI",2020,Y,
114,CN-02948220,Developing Topics,2025,Y,
115,CN-02297336,Inflammation in COPD and the Effect of Nicotinamide Riboside,2021,Y,crossover design
120,CN-01004275,Nicotinamide for skin cancer chemoprevention,2012,Y,NR vs placebo
121,CN-02125004,Effects of Nicotinamide Riboside on the Clinical Outcome of Covid-19 in the Elderly,2020,Y,
130,CN-02179127,Improvement in inner retinal function in glaucoma in response to nicotinamide (Vitamin B3) supplementation: a crossover randomized clinical trial,2020,Y,good RCT
131,CN-02599768,"Effect of Nicotinamide Riboside on Ketosis, Fat Oxidation &amp; Metabolic Rate",2023,Y,
134,CN-02885480,Effect of Sevelamer versus Bifidobacterium longum on Insulin Sensitivity in Subjects with Obesity,2025,Y,meets all PICO
142,CN-02737221,"Randomized, placebo-controlled, pilot clinical study evaluating acute Niagen®+ IV and NAD+ IV in healthy adults",2024,Y,crossover design
146,CN-01609303,"A Study by ChromaDex to Assess the Effects of TRU NIAGEN on Cognitive Function, Mood and Sleep in Older Adults",2018,?,need fulltext to confirm
155,CN-01966126,Metabolic Cofactor Supplementation in Alzheimer's Disease (AD) and Parkinson's Disease (PD) Patients,2019,Y,
159,CN-02565422,Metabolic Changes Induced by NMN in Healthy Subjects With Acute Binge Drink,2023,Y,NR vs placebo
173,CN-02939587,"Randomized, Open-label, Safety Study of Subcutaneous and Intramuscular Injections of Niagen® Plus",2025,?,check design
185,CN-01901955,Assessment of the safety of long-term nicotinamide mononucleotide (NMN) in healthy subjects; phase II study. The clinical trial to evaluate metabolic-syndrome-related parameters to develop NMN as Foods with Function Claims,2017,Y,crossover design
186,CN-02181681,Metabolic Cofactor Supplementation and Hydroxychloroquine Combination in Covid-19 Patients,2020,Y,NMN vs placebo
188,CN-02760069,NAD-HD: a RANDOMIZED CLINICAL TRIAL OF NICOTINAMIDE RIBOSIDE IN HUNTINGTON'S DISEASE,2024,Y,
189,CN-02507251,Treatment With Nicotinamide Riboside Alters Systemic Mitochondrial Metabolism Without Impacting Exercise Capacity in Patients With CKD,2022,Y,NR vs placebo
192,CN-02544612,Effects of supplementation of ß-nicotinamide mononucleotide (NMN) on patients with non-alcoholic fatty liver (NAFLD),2022,Y,
193,CN-02467196,Nicotinamide Riboside in Ulcerative Colitis,2022,Y,parallel RCT
198,CN-02928861,Controlled-Ileocolonic-Release Nicotinamide (CICR-NAM): pharmacokinetics And Dose Finding,2025,Y,parallel RCT
199,CN-02865751,"Skin-Condition-Improving Effects of a Formula Containing Ergothioneine, PQQ, and NR in Naturally Aging Asian Women: a Randomized Controlled Clinical Trial",2025,Y,crossover design
200,CN-02572901,"A Phase I, double-blind, randomised, placebo-controlled, single-ascending and multiple-ascending dose trial to evaluate the safety and pharmacokinetics of oral controlled-ileal-release nicotinic acid (CIR-NA) compared to immediate-release nicotinic acid and placebo in healthy subjects and subjects with prediabetes",2022,Y,
209,CN-02289611,NR Supplementation and Exercise,2021,Y,
214,CN-02536207,NAD+ BIOLOGY AS A POTENTIAL THERAPEUTIC TARGET FOR DIABETIC NEUROPATHY,2023,Y,NMN vs placebo
216,CN-01966277,Effect of Basis™ and High Intensity Interval Training (HIIT) on Muscle Metabolism and Exercise Performance,2019,Y,parallel RCT
227,CN-02679731,The NADage Study: nicotinamide Riboside Replenishment Therapy Against Functional Decline in Aging,2023,Y,NR vs placebo
232,CN-01111313,N(1)-methylnicotinamide as an endogenous probe for drug interactions by renal cation transporters: studies on the metformin-trimethoprim interaction,2015,Y,NMN vs placebo
236,CN-02597671,Double-blind Placebo Controlled Study to Evaluate the Effect of NAD+ Boosting With Nicotinamide Riboside on Immunometabolism and Immunity in Systemic Lupus Erythematosus,2023,Y,parallel RCT
247,CN-02070311,Cross-over trial to verify safety and effectiveness of nicotinamide riboside for patients with Werner syndrome,2019,Y,check dose
255,CN-02616656,A randomized controlled trial of long-term nicotinamide mononucleotide supplementation in healthy adults,2023,Y,check dose
258,CN-01969353,"Randomized, double-blind, placebo-controlled parallel-group comparative study to evaluate the effect of nicotinamide mononucleotide (NMN) on the body composition in elderly persons",2019,Y,
262,CN-02475434,N-DOSE: a Dose Optimization Trial of Nicotinamide Riboside in Parkinson's Disease,2022,Y,
265,CN-02497267,N-DOSE AD: a Dose Optimization Trial of Nicotinamide Riboside in Alzheimer's Disease,2022,Y,NMN vs placebo
266,CN-01660920,Trial of Nicotinamide Riboside and Co-enzyme Q10 in Chronic Kidney Disease,2018,Y,check dose
268,CN-02398435,NR-SAFE: safety of High-dose Nicotinamide Riboside (NR) in Parkinson's Disease,2022,Y,crossover design
270,CN-02850624,NADream: effects of Nicotinamide Adenine Dinucleotide Supplementation on Sleep Quality in Healthy Individuals,2025,Y,NR vs placebo
274,CN-01663626,Nicotinamide Riboside for Diabetic Neuropathy,2018,Y,
299,CN-02941650,The Role of Pyrroloquinoline Quinone in Sports Nutrition: an Acute Exhaustive Exercise,2025,?,need fulltext to confirm
317,CN-02901111,Nicotinamide Mononucleotide Supplementation for Exercise Tolerance Improvement in Healthy Older Adults,2025,Y,
326,CN-02253228,Nicotinamide Riboside in SARS-CoV-2 (COVID-19) Patients for Renal Protection,2021,Y,NR vs placebo
335,CN-02632460,The NADAPT Study: a Randomized Double-blind Trial of NAD Replenishment Therapy for Atypical Parkinsonism,2023,Y,good RCT
337,CN-02554354,"Effect of nicotinamide riboside supplementation in dilated cardiomyopathy patients to CERP, Chromadex Inc. USA",2023,Y,
343,CN-01494715,"Pharmacokinetics, Pharmacodynamics and Safety of Basis in Acute Kidney Injury Study",2017,Y,
349,CN-01796136,Nicotinamide Riboside for Treating Elevated Systolic Blood Pressure and Arterial Stiffness in Middle-aged and Older Adults,2019,Y,parallel RCT
353,CN-02307420,The Effect of Exercise and Nicotinamide Riboside Muscle Health and Insulin Resistance in Survivors of Childhood Cancer,2021,Y,
357,CN-02945443,NAD Augmentation to Prevent or Reverse Alzheimer's Disease in People With Down Syndrome,2025,Y,
375,CN-01966040,Nicotinamide Riboside Supplementation for Treating Arterial Stiffness and Elevated Systolic Blood Pressure in Patients With Moderate to Severe CKD,2019,Y,
394,CN-01260124,The Effects of Nitrate-Rich Supplementation on Neuromuscular Efficiency during Heavy Resistance Exercise,2016,Y,
400,CN-01992471,Nicotinamide Riboside as an Enhancer of Exercise Therapy in Hypertensive Older Adults (The NEET Trial),2019,Y,
409,CN-02476448,Slow Age: interventions to Slow Aging in Humans,2022,Y,
434,CN-02408801,"A Randomized, Double Blind, Placebo-Controlled Study to Evaluate the Effect of Nicotinamide Mononucleotide (NMN) As an Adjuvant to Standard of Care (SOC) On Fatigue Associated with COVID-19 Infection",2022,Y,
435,CN-02848008,"Qualia NAD+® Increases NAD+ In Human Participants: a Randomized, Double-Blind, Placebo-Controlled Study",2025,Y,
445,CN-02159110,"Safety of NR-INF-02, an Extract of Curcuma Longa Containing Turmerosaccharides, in Healthy Volunteers: a Randomized, Open-label Clinical Trial",2022,Y,NR vs placebo
467,CN-02558395,Parallel-group comparative study to evaluate the effect of high-dose nicotinamide mononucleotide (NMN) on aging,2022,Y,
471,CN-02511816,"Effects of nicotinamide mononucleotide on older patients with diabetes and impaired physical performance: a prospective, placebo-controlled, double-blind study",2023,Y,
476,CN-02748260,An exploratory clinical trial on the effects of nicotinamide mononucleotide (NMN) intake and exercise on skeletal muscle mass and function in older adults,2024,Y,
477,CN-02527085,"Impact of nicotinamide mononucleotide (NMN) for older diabetic patients with impaired physical performance: a prospective, placebo-controlled, doubleblind study",2022,Y,NMN vs placebo
488,CN-02634873,"To Investigate the change in oral bioavailability of Nicotinamide Mononucleotide (NMN, 500mg) when 5mg Bioperine is added to NMN 500mg in normal healthy volunteers",2023,Y,
523,CN-01937237,Impact of Acute Dietary Nitrate Supplementation during Exercise in Hypertensive Women,2019,Y,crossover design
553,CN-02823693,"Evaluate the Safety, Tolerability, and Efficacy of UthPeak NMNH (Reduced Nicotinamide Mononucleotide) in Healthy Adult Participants",2025,Y,
566,CN-02830688,Study on the relative bioavailability of liposome ß - nicotinamide mononucleotide,2025,Y,
571,CN-02766984,Investigate the Efficacy of Using NMN to Improve Embryo Development Capacity,2024,Y,NR vs placebo
661,CN-02759156,Acute impact of inorganic nitrate supplementation after ischemia and during small muscle mass exercise in postmenopausal females: a pilot study,2024,Y,crossover design
682,CN-02922754,Clinical study investigating the effects of NMN/garlic extract supplements on sleep,2025,?,
790,CN-02829483,"A planned clinical study at a single center will investigate the pharmacokinetics of NMN and NAM in healthy adults. This study will be interventional, involving a single dose, multiple arms, and will be randomized, open-label, and cross-over in design",2025,Y,crossover design
835,CN-02253340,To Evaluate the Efficacy and Safety of NMN as an Anti-ageing Supplement in Middle Aged and Older (40-65 Years) Adults,2021,Y,good RCT
836,CN-02871066,Nicotinamide Mmononucleotide in Patients Undergoing CABG Surgery,2025,Y,check dose
851,CN-02184687,Study on health promotion by exercise nutrition intervention: a randomized controlled trial,2020,Y,crossover design
860,39661983,NAD+ metabolism restriction boosts high-dose melphalan efficacy in patients with multiple myeloma.,2025,Y,
864,37364580,Nicotinamide Adenine Dinucleotide in Aging Biology: Potential Applications and Many Unknowns.,2023,Y,good RCT
934,WOS:001256220500001,Nicotinamide Mononucleotide Supplementation: Understanding Metabolic Variability and Clinical Implications,2024,?,sounds like it qualifies
936,WOS:001141896900001,"Safety and efficacy of long-term nicotinamide mononucleotide supplementation on metabolism, sleep, and nicotinamide adenine dinucleotide biosynthesis in healthy, middle-aged Japanese men",2024,?,sounds like it qualifies
938,WOS:000385540400001,Nicotinamide riboside is uniquely and orally bioavailable in mice and humans,2016,Y,
940,WOS:000784891500005,"The role of nicotinamide mononucleotide (NMN) in anti-aging, longevity, and its potential for treating chronic conditions",2022,Y,
943,WOS:000769347500001,"Effect of 12-Week Intake of Nicotinamide Mononucleotide on Sleep Quality, Fatigue, and Physical Performance in Older Japanese Adults: A Randomized, Double-Blind Placebo-Controlled Study",2022,Y,
948,WOS:001604050800001,Oral Supplementation of Nicotinamide Mononucleotide (NMN) Improves Hair Quality and Subjective Perception of Hair Appearance in Middle-Aged Women,2025,Y,parallel RCT
949,WOS:001037141300007,What is really known about the effects of nicotinamide riboside supplementation in humans,2023,Y,
950,WOS:001631606300001,"Comparative efficacy of a standardized herbal composition LN22199, nicotinamide riboside, and their combination on NAD plus metabolism in healthy aging adults",2025,Y,
954,WOS:001689847900001,Restoring NAD plus -Sirtuins Signaling: A Novel Approach to Combat Male Reproductive Aging,2026,Y,
967,WOS:001684106600001,Hair growth enhancement via mitochondrial activation by Mito-activator complex,2026,Y,
1042,"Export Date: 03 March 2026; Cited By: 6; Correspondence Address: Y. Yan; Institute of Microbiology, Guangxi Academy of Agricultural Sciences, Nanning, China; email: infungi@126.com; Y. Liao; Guangxi Veterinary Research Institute, Nanning, China; email: 315951610@qq.com",Ganoderma lingzhi culture enhance growth performance via improvement of antioxidant activity and gut probiotic proliferation in Sanhuang broilers,2023,Y,crossover design
1050,"Export Date: 03 March 2026; Cited By: 1; Correspondence Address: T. Nakagawa; Department of Molecular and Medical Pharmacology, Faculty of Medicine, University of Toyama, Toyama, Japan; email: nakagawa@med.u-toyama.ac.jp",NAD+ metabolism in aging,2022,Y,
1096,"Export Date: 03 March 2026; Cited By: 13; Correspondence Address: T.K. Ito; Department of Cellular and Molecular Anatomy, Hamamatsu University School of Medicine, Hamamatsu, 431-3192, Japan; email: takashi.ito.cj@riken.jp",A nonrandomized study of single oral supplementation within the daily tolerable upper level of nicotinamide affects blood nicotinamide and NAD+ levels in healthy subjects,2020,Y,NMN vs placebo
1,41664134,"Effects of nicotinamide riboside supplementation during late gestation and  lactation on sow performance, milk metabolome, and gut microbiome.",2026,N,
2,41655607,NAD(+) supplementation for anti-aging and wellness: a PRISMA-guided systematic  review of preclinical and clinical evidence.,2026,N,
3,41643453,The combination of Anoectochilus roxburghii and Danggui-Niantong decoction  ameliorates hyperuricemia by regulating NAD(+) metabolism and urate transport in rats.,2026,N,animal
10,40746868,Oral MIB-626 (beta Nicotinamide Mononucleotide) Safely Raises Blood Nicotinamide  Adenine Dinucleotide Levels in Hospitalized Patients With COVID-19 and Acute Kidney Injury: A Randomized Controlled Trial.,2025,N,
12,40275690,The Effect of Nicotinamide Mononucleotide and Riboside on Skeletal Muscle Mass  and Function: A Systematic Review and Meta-Analysis.,2025,N,
13,40069789,Pharmacokinetic and pharmacodynamic assessment of oral nicotinamide in the NEAT  clinical trial for early Alzheimer's disease.,2025,N,review article
17,39703532,Nicotinic acid improves mitochondrial function and associated transcriptional  pathways in older inactive males.,2024,N,case report
19,39500416,Acute exercise boosts NAD(+) metabolism of human peripheral blood mononuclear  cells.,2025,N,commentary
22,39221308,Improved Physical Performance Parameters in Patients Taking Nicotinamide  Mononucleotide (NMN): A Systematic Review of Randomized Control Trials.,2024,N,no metabolic outcomes
23,39185644,Effects of Nicotinamide Mononucleotide Supplementation on Muscle and Liver  Functions Among the Middle-aged and Elderly: A Systematic Review and Meta-analysis of Randomized Controlled Trials.,2025,N,review article
24,39116016,Efficacy of oral nicotinamide mononucleotide supplementation on glucose and lipid  metabolism for adults: a systematic review with meta-analysis on randomized controlled trials.,2025,N,NAD but not NMN/NR specifically
29,38100537,Nicotinamide mononucleotide alleviates endotoxin-induced acute lung injury by  modulating macrophage polarization via the SIRT1/NF-kappaB pathway.,2024,N,maybe? no placebo mentioned
32,37854354,The effects of NAD+ precursor (nicotinic acid and nicotinamide) supplementation  on weight loss and related hormones: a systematic review and meta-regression analysis of randomized controlled trials.,2023,N,poster abstract only
34,37593976,"Effects of NAD+ precursors on blood pressure, C-reactive protein concentration  and carotid intima-media thickness: A meta-analysis of randomized controlled trials.",2023,N,no placebo
39,36792992,Blood levels of nicotinic acid negatively correlate with hearing ability in  healthy older men.,2023,N,
40,36787055,Melatonin/nicotinamide mononucleotide/ubiquinol: a cocktail providing superior  cardioprotection against ischemia/reperfusion injury in a common co-morbidities modelled rat.,2023,N,
42,36703196,"Combined metabolic activators improve cognitive functions in Alzheimer's disease  patients: a randomised, double-blinded, placebo-controlled phase-II trial.",2023,N,
44,36482258,"The efficacy and safety of beta-nicotinamide mononucleotide (NMN) supplementation in  healthy middle-aged adults: a randomized, multicenter, double-blind, placebo-controlled, parallel-group, dose-dependent clinical trial.",2023,N,case report
45,36361882,Intravenous Nicotinamide Riboside Administration Has a Cardioprotective Effect in  Chronic Doxorubicin-Induced Cardiomyopathy.,2022,N,borderline - prob not RCT
47,36002548,Safety evaluation of beta-nicotinamide mononucleotide oral administration in healthy  adult men and women.,2022,N,poster abstract only
49,35854224,Exercise training and NR supplementation to improve muscle mass and fitness in  adolescent and young adult hematopoietic cell transplant survivors: a randomized controlled trial 1.,2022,N,
50,35620522,Nicotinamide Riboside Supplementation for Treating Elevated Systolic Blood  Pressure and Arterial Stiffness in Midlife and Older Adults.,2022,N,
51,35479740,Oral Administration of Nicotinamide Mononucleotide Is Safe and Efficiently  Increases Blood Nicotinamide Adenine Dinucleotide Levels in Healthy Subjects.,2022,N,wrong population
52,35303905,Effects of NAD+ precursor supplementation on glucose and lipid metabolism in  humans: a meta-analysis.,2022,N,
56,35123833,Nicotinamide mononucleotide promotes pancreatic islet function through the SIRT1  pathway in mice after severe burns.,2022,N,review article
57,35025762,Boosting NAD+ blunts TLR4-induced type I IFN in control and systemic lupus  erythematosus monocytes.,2022,N,in vitro
59,34238308,"Nicotinamide mononucleotide supplementation enhances aerobic capacity in amateur  runners: a randomized, double-blind study.",2021,N,poster abstract only
60,34191033,"NAD+-Precursor Supplementation With L-Tryptophan, Nicotinic Acid, and  Nicotinamide Does Not Affect Mitochondrial Function or Skeletal Muscle Function in Physically Compromised Older Adults.",2021,N,wrong population
62,33744645,Short-term nicotinamide riboside treatment improves muscle quality and function  in mice and increases cellular energetics and differentiating capacity of myogenic progenitors.,2021,N,
65,32942582,Clinical Evidence for Targeting NAD Therapeutically.,2020,N,NAD but not NMN/NR specifically
66,32791973,"Nicotinamide riboside with pterostilbene (NRPT) increases NAD(+) in patients with  acute kidney injury (AKI): a randomized, double-blind, placebo-controlled, stepwise safety study of escalating doses of NRPT in patients with AKI.",2020,N,borderline - prob not RCT
84,CN-02099792,Modulation of the cardiac sodium channel NaV1.5 peak and late currents by NAD+ precursors,2020,N,
86,CN-02718911,The effects of NAD+-precursor supplementation on energy metabolism in physically compromised elderly,2018,N,borderline - prob not RCT
89,CN-01595020,Safety &amp; Efficacy of Nicotinamide Riboside Supplementation for Improving Physiological Function in Middle-Aged and Older Adults,2016,N,poster abstract only
90,CN-01593607,Nicotinamide Riboside in Systolic Heart Failure,2017,N,animal
94,CN-01560780,High-Intensity Interval Training on Pre-Hypertensive Subjects,2016,N,commentary
95,CN-01564843,NAD Supplementation Study,2017,N,
96,CN-02592363,Nicotinamide Riboside Impact on Extracellular Nicotinamide Adenine Dinucleotide (NAD+),2023,N,maybe? no placebo mentioned
97,CN-02453065,Benefits of Nicotinamide Riboside Upon Cognition and Sleep,2022,N,
99,CN-01919743,Evaluation of Nicotinamide Riboside in Prevention of Small Fiber Axon Degeneration and Promotion of Nerve Regeneration,2019,N,wrong population
103,CN-02379347,Testing the ability of oral nicotinamide riboside to replenish heart tissue levels of oxidized nicotinamide adenine dinucleotide using heart biopsies taken at the time of surgery,2022,N,
112,CN-01170348,"""A randomized, double-blind study of the effects of omega-3 fatty acids (Omegaven) on outcome after major liver resection""",2015,N,
116,CN-02846213,"Effect of acipimox on skeletal muscle biochemistry, structure and function in older people with probable sarcopenia: an experimental medicine study",2025,N,
118,CN-01560864,Supervised Exercise-training in Children With Insulin Resistance or Healthy Metabolic Profile,2016,N,
119,CN-02033578,"Growth, Risks of Allergy and Metabolic Syndrome in 6 Year Old Children Born Preterm Compared to Postdischarge Nutrition",2014,N,
122,CN-02283878,"O-1 Results from a global phase 2 study of tislelizumab, an investigational PD-1 antibody, in patients with unresectable hepatocellular carcinoma",2021,N,
123,CN-01961379,Impact of liver tumor burden on therapeutic effect of 177Lu-dotatate treatment in NETTER-1 study,2018,N,protocol only
124,CN-01790011,Impact of baseline liver tumor burden on treatment outcomes with 177Lu-DOTATATE in the NETTER-1 study,2018,N,
125,CN-01987360,Brigatinib (BRG) versus crizotinib (CRZ) in Asian versus non-Asian patients (pts) in the phase III ALTA-1L trial,2019,N,niacin not NMN/NR
127,CN-01999046,"Does liver tumor burden affect the therapeutic effect of 177Lu-Dotatate treatment? Analysis of Progression Free Survival, Safety and Quality of Life in NETTER-1 study",2019,N,
128,CN-02073980,Brigatinib (BRG) vs Crizotinib (CRZ) in Patients (Pts) With ALK Inhibitor-Naive Advanced ALK1 NSCLC from ALTA-1L,2019,N,animal
129,CN-01662821,Exercise for Preventing the Metabolic Syndrome in Latinoamerican Amerindians,2018,N,case report
132,CN-02098151,Updated results from the phase 3 ALTA-1L trial of brigatinib (BRG) vs. Crizotinib (CRZ) in ALK inhibitor-naive advanced ALK + NSCLC,2020,N,
133,CN-02892670,"A multicenter, randomized, global phase 3 study to assess the efficacy and safety of intratumoral (IT) INT230-6 (SHAO, vinblastine, cisplatin) as monotherapy compared with standard of care systemic chemotherapy in adults with locally recurrent, inoperable, or metastatic soft tissue sarcomas (STS; INVINCIBLE-3)",2025,N,review article
135,CN-02691808,IV Administration of ChromaDex's Niagen® as Compared to NAD+,2024,N,in vitro
137,CN-02454629,A phase II study of alectinib in combination with bevacizumab as first-line treatment in advanced NSCLC with confirmed ALK fusion: ALEK-B trial,2022,N,
138,CN-01654327,Brigatinib vs Crizotinib in Patients With ALK Inhibitor-Naive Advanced ALK+ NSCLC: first Report of a Phase 3 Trial (ALTA-1L),2018,N,
139,CN-02517503,Brigatinib vs Crizotinib in patients (pts) with ALK inhibitornaive advanced ALK+ NSCLC from the phase 3 ALTA-1L trial,2019,N,niacin not NMN/NR
140,CN-02559292,VISCERAL FAT REDUCTION WITH TESAMORELIN ASSOCIATED WITH METABOLIC SYNDROME REVERSAL,2023,N,niacin not NMN/NR
141,CN-02087575,Brigatinib versus crizotinib in patients with ALK inhibitor–naive advanced ALK+ NSCLC: results from the phase 3 ALTA-1L trial,2020,N,duplicate
143,CN-02474795,Leptin increases hepatic triglyceride export via a vagal mechanism in humans,2022,N,poster abstract only
145,CN-02667901,"A study protocol to investigate if acipimox improves muscle function and sarcopenia: an open-label, uncontrolled, before-and-after experimental medicine feasibility study in community-dwelling older adults",2024,N,duplicate
147,CN-02775434,"Study of the efficacy and safety of half-dose PT/Cy plus post-transplant very low-dose ATG-F as graft-versus-host disease prophylaxis in HLA-matched sibling peripheral blood stem cell transplantation: a multicenter, open, randomized controlled phase II trial",2024,N,case report
149,CN-00759704,Precise prediction model and simplified scoring system for sustained combined response to interferon-alpha,2010,N,
151,CN-02383351,"Dabrafenib, Alone or in Combination with Trametinib, in Pediatric Patients with BRAF V600 Mutation-Positive Langerhans Cell Histiocytosis",2021,N,commentary
152,CN-00470250,The close relationship between postprandial remnant metabolism and insulin resistance,2004,N,
